name,color
N. America Developed,#FF00FF
European U. (27),#0000FF
Western Europe,#6495ED
Oceania Developed,#F4A460
Other Developed,#8E8E38
Eastern Europe,#C6E2FF
Econ. in Transition,#D8BFD8
N.W. Africa,#97FFFF
Western Africa,#00EEEE
Central Africa,#03A89E
Eastern Africa,#66CDAA
Southern Africa,#00FF7F
N. America Developing,#800080
Central America,#BF3EFF
Caribbean,#912CEE
South America,#EE82EE
Near East,#FFFF00
Southern Asia,#FF7256
E. and S.E. Asia,#FF7F24
China,#FF3030
Oceania Developing,#FF4500
